Datetime,Nhiệt độ,Độ ẩm,Khí áp,T.độ gió,H. gió
2014-01-05 06:00:00,23.8,92,1011.0,0.9,180
2014-01-05 07:00:00,23.9,92,1011.8,0.5,180
2014-01-05 08:00:00,24.4,90,1012.7,1.1,131
2014-01-05 09:00:00,25.5,84,1012.8,1.2,81
2014-01-05 10:00:00,27.0,80,1012.7,2.5,92
2014-01-05 11:00:00,27.8,76,1012.0,2.3,85
2014-01-05 12:00:00,28.6,71,1011.4,1.4,56
2014-01-05 13:00:00,29.0,72,1010.4,1.9,47
2014-01-05 14:00:00,29.6,67,1009.5,1.5,70
2014-01-05 15:00:00,29.0,73,1009.3,2.4,90
2014-01-05 16:00:00,28.9,71,1009.2,2.3,124
2014-01-05 17:00:00,28.9,71,1009.6,2.3,133
2014-01-05 18:00:00,27.5,76,1009.8,1.5,172
2014-01-05 19:00:00,26.2,82,1010.4,1.8,177
2014-01-05 20:00:00,25.5,82,1011.1,1.8,139
2014-01-05 21:00:00,24.7,85,1011.2,2.1,145
2014-01-05 22:00:00,24.0,88,1011.0,1.4,159
2014-01-05 23:00:00,23.4,91,1010.7,1.8,164
2014-01-06 00:00:00,23.1,92,1010.5,0.9,153
2014-01-06 01:00:00,23.0,91,1009.8,2.0,127
2014-01-06 02:00:00,23.1,89,1009.4,2.5,122
2014-01-06 03:00:00,23.1,89,1009.4,1.6,108
2014-01-06 04:00:00,22.7,91,1009.3,1.2,145
2014-01-06 05:00:00,22.4,92,1009.6,0.7,153
2014-01-06 06:00:00,22.1,93,1010.6,0.6,162
2014-01-06 07:00:00,22.3,96,1011.0,0.9,148
2014-01-06 08:00:00,23.4,92,1011.8,1.3,129
2014-01-06 09:00:00,24.9,86,1012.5,1.5,98
2014-01-06 10:00:00,26.4,77,1012.7,1.1,52
2014-01-06 11:00:00,27.1,77,1012.2,1.5,42
2014-01-06 12:00:00,27.7,74,1011.4,2.4,36
2014-01-06 13:00:00,28.4,71,1010.3,1.6,55
2014-01-06 14:00:00,29.1,69,1009.8,1.1,41
2014-01-06 15:00:00,28.5,75,1009.4,2.6,32
2014-01-06 16:00:00,27.9,78,1009.6,1.2,48
2014-01-06 17:00:00,27.9,74,1010.0,0.6,45
2014-01-06 18:00:00,26.9,80,1010.5,2.1,155
2014-01-06 19:00:00,25.4,84,1011.2,2.0,131
2014-01-06 20:00:00,24.7,82,1011.7,2.2,117
2014-01-06 21:00:00,24.3,83,1011.6,1.8,112
2014-01-06 22:00:00,24.0,84,1011.5,1.8,106
2014-01-06 23:00:00,23.6,87,1011.1,1.2,90
2014-01-07 00:00:00,23.4,91,1011.0,1.3,108
2014-01-07 01:00:00,23.1,92,1010.7,1.0,66
2014-01-07 02:00:00,23.1,90,1010.4,1.2,55
2014-01-07 03:00:00,23.1,92,1010.3,0.6,270
2014-01-07 04:00:00,22.2,95,1010.4,0.2,270
2014-01-07 05:00:00,22.5,96,1010.7,1.1,265
2014-01-07 06:00:00,22.5,97,1011.1,1.3,252
2014-01-07 07:00:00,22.2,97,1012.0,1.0,259
2014-01-07 08:00:00,23.5,95,1012.5,0.6,321
2014-01-07 09:00:00,25.2,84,1012.5,2.1,273
2014-01-07 10:00:00,26.8,71,1012.2,0.9,324
2014-01-07 11:00:00,28.6,68,1012.2,1.0,11
2014-01-07 12:00:00,29.5,64,1011.2,1.9,65
2014-01-07 13:00:00,30.3,59,1010.1,0.9,324
2014-01-07 14:00:00,30.9,60,1009.6,1.6,55
2014-01-07 15:00:00,30.5,62,1009.4,1.9,32
2014-01-07 16:00:00,30.0,65,1009.4,1.1,45
2014-01-07 17:00:00,29.1,71,1009.8,0.9,90
2014-01-07 18:00:00,27.9,69,1010.7,2.4,128
2014-01-07 19:00:00,26.6,78,1011.4,2.7,121
2014-01-07 20:00:00,26.1,78,1012.1,2.8,122
2014-01-07 21:00:00,25.7,79,1012.1,2.3,110
2014-01-07 22:00:00,25.3,80,1011.8,2.3,108
2014-01-07 23:00:00,25.0,83,1011.6,1.7,90
2014-01-08 00:00:00,24.9,85,1011.6,1.1,128
2014-01-08 01:00:00,24.7,86,1011.1,1.1,139
2014-01-08 02:00:00,24.6,87,1010.5,1.3,129
2014-01-08 03:00:00,24.3,88,1010.1,1.4,155
2014-01-08 04:00:00,24.0,90,1010.1,1.2,145
2014-01-08 05:00:00,24.2,90,1010.3,1.2,145
2014-01-08 06:00:00,24.2,91,1010.9,0.3,198
2014-01-08 07:00:00,24.2,90,1011.7,0.7,90
2014-01-08 08:00:00,24.9,89,1012.7,1.2,66
2014-01-08 09:00:00,25.6,87,1013.3,1.7,45
2014-01-08 10:00:00,26.8,78,1013.2,2.0,81
2014-01-08 11:00:00,27.8,74,1012.8,2.4,15
2014-01-08 12:00:00,28.4,69,1011.8,0.9,72
2014-01-08 13:00:00,29.0,69,1011.0,1.0,11
2014-01-08 14:00:00,28.9,66,1010.5,0.6,351
2014-01-08 15:00:00,29.2,62,1010.0,1.0,66
2014-01-08 16:00:00,29.1,63,1010.0,1.4,90
2014-01-08 17:00:00,28.9,63,1010.4,0.8,90
2014-01-08 18:00:00,28.3,68,1010.7,1.0,180
2014-01-08 19:00:00,27.3,81,1011.4,0.4,304
2014-01-08 20:00:00,26.5,83,1012.0,1.4,69
2014-01-08 21:00:00,26.1,84,1011.8,0.4,333
2014-01-08 22:00:00,25.4,90,1011.2,1.2,279
2014-01-08 23:00:00,25.0,90,1011.2,0.4,63
2014-01-09 00:00:00,24.9,92,1011.0,1.3,77
2014-01-09 01:00:00,24.9,92,1010.5,2.6,21
2014-01-09 02:00:00,25.0,87,1009.8,1.3,63
2014-01-09 03:00:00,24.5,88,1009.6,1.5,113
2014-01-09 04:00:00,24.3,90,1010.0,1.7,115
2014-01-09 05:00:00,24.3,92,1010.4,1.3,119
2014-01-09 06:00:00,24.5,94,1010.9,1.0,17
2014-01-09 07:00:00,24.5,96,1011.7,1.3,63
2014-01-09 08:00:00,24.8,95,1012.5,0.9,27
2014-01-09 09:00:00,25.5,91,1013.3,0.6,39
2014-01-09 10:00:00,27.1,82,1013.7,2.5,92
2014-01-09 11:00:00,28.1,76,1013.4,2.8,125
2014-01-09 12:00:00,29.6,46,1012.3,3.5,100
2014-01-09 13:00:00,30.0,42,1011.1,4.4,101
2014-01-09 14:00:00,30.1,42,1009.8,3.8,102
2014-01-09 15:00:00,29.9,44,1009.5,4.0,93
2014-01-09 16:00:00,29.0,48,1009.5,2.9,102
2014-01-09 17:00:00,28.2,53,1009.9,2.6,119
2014-01-09 18:00:00,27.1,63,1010.5,1.6,94
2014-01-09 19:00:00,26.0,75,1011.5,2.8,60
2014-01-09 20:00:00,25.3,80,1012.3,2.2,72
2014-01-09 21:00:00,25.0,82,1012.7,1.5,110
2014-01-09 22:00:00,24.9,82,1012.6,2.1,131
2014-01-09 23:00:00,24.7,83,1012.6,1.8,106
2014-01-10 00:00:00,24.4,86,1012.5,1.3,67
2014-01-10 02:00:00,23.8,90,1011.7,1.6,117
2014-01-10 03:00:00,23.9,88,1011.4,1.6,112
2014-01-10 04:00:00,24.0,90,1011.7,1.8,61
2014-01-10 05:00:00,23.8,90,1011.8,1.0,90
2014-01-10 06:00:00,23.8,89,1012.6,1.3,51
2014-01-10 07:00:00,24.1,86,1013.4,1.6,60
2014-01-10 08:00:00,24.4,86,1014.4,1.9,47
2014-01-10 09:00:00,25.6,76,1014.8,3.8,63
2014-01-10 10:00:00,25.9,74,1014.7,4.1,62
2014-01-10 11:00:00,26.6,71,1014.0,3.3,52
2014-01-10 12:00:00,27.5,68,1013.2,2.7,36
2014-01-10 13:00:00,27.8,71,1012.1,2.4,7
2014-01-10 16:00:00,28.8,71,1011.1,1.2,340
2014-01-10 18:00:00,27.1,83,1012.0,0.9,58
2014-01-10 19:00:00,26.8,83,1012.7,1.2,114
2014-01-10 20:00:00,26.3,75,1013.3,2.1,121
2014-01-10 21:00:00,25.6,79,1013.7,2.2,133
2014-01-10 22:00:00,25.1,81,1013.8,2.2,120
2014-01-10 23:00:00,24.5,83,1013.8,1.3,135
2014-01-11 00:00:00,24.0,87,1013.9,1.0,169
2014-01-11 01:00:00,23.5,89,1013.4,1.4,163
2014-01-11 02:00:00,23.0,90,1012.9,1.3,167
2014-01-11 03:00:00,22.9,90,1012.6,1.3,103
2014-01-11 04:00:00,23.1,91,1012.7,0.7,180
2014-01-11 05:00:00,22.6,93,1012.9,0.7,164
2014-01-11 07:00:00,23.8,89,1014.3,1.9,58
2014-01-11 08:00:00,24.3,85,1015.3,2.6,65
2014-01-11 09:00:00,25.5,78,1015.5,2.8,51
2014-01-11 10:00:00,26.7,72,1015.4,3.1,38
2014-01-11 12:00:00,28.5,67,1013.6,2.8,13
2014-01-11 13:00:00,29.4,58,1012.5,0.9,6
2014-01-11 14:00:00,30.3,56,1011.6,1.3,23
2014-01-11 15:00:00,31.3,53,1011.0,1.0,349
2014-01-11 16:00:00,31.5,57,1011.1,1.8,299
2014-01-11 17:00:00,29.7,66,1011.6,3.4,307
2014-01-11 18:00:00,28.5,69,1012.5,2.2,159
2014-01-11 19:00:00,26.7,74,1013.2,1.7,155
2014-01-11 20:00:00,25.9,77,1014.0,1.8,135
2014-01-11 21:00:00,25.5,79,1014.3,1.8,135
2014-01-11 22:00:00,25.2,83,1014.5,1.1,158
2014-01-11 23:00:00,25.0,84,1014.5,1.2,171
2014-01-12 00:00:00,24.7,87,1014.0,1.9,164
2014-01-12 01:00:00,24.2,89,1013.7,1.8,164
2014-01-12 02:00:00,23.9,90,1012.9,1.7,170
2014-01-12 03:00:00,23.5,92,1012.3,1.5,176
2014-01-12 04:00:00,23.2,92,1012.2,0.1,180
2014-01-12 05:00:00,23.2,93,1012.5,0.2,180
2014-01-12 06:00:00,23.1,93,1012.9,0.6,180
2014-01-12 07:00:00,23.3,95,1013.9,1.2,160
2014-01-12 08:00:00,24.3,92,1014.9,1.3,58
2014-01-12 09:00:00,25.1,90,1015.3,2.0,15
2014-01-12 10:00:00,26.6,84,1015.4,1.9,32
2014-01-12 11:00:00,28.0,74,1015.0,2.2,43
2014-01-12 12:00:00,29.0,67,1013.8,1.2,355
2014-01-12 14:00:00,29.5,68,1011.7,2.1,8
2014-01-12 15:00:00,30.0,66,1011.2,1.1,5
2014-01-12 16:00:00,30.0,67,1011.2,2.1,346
2014-01-12 17:00:00,29.1,74,1011.5,1.7,357
2014-01-12 18:00:00,28.4,75,1011.6,0.9,249
2014-01-12 19:00:00,27.4,78,1012.5,1.0,197
2014-01-12 20:00:00,26.6,83,1013.3,2.0,150
2014-01-12 21:00:00,25.6,85,1014.0,1.4,144
2014-01-12 22:00:00,25.1,87,1014.5,2.9,108
2014-01-12 23:00:00,24.9,88,1013.9,1.7,115
2014-01-13 00:00:00,24.8,91,1013.4,2.1,211
2014-01-13 01:00:00,24.2,94,1013.2,1.2,160
2014-01-13 02:00:00,24.0,95,1012.6,1.1,128
2014-01-13 03:00:00,24.0,95,1012.2,0.3,225
2014-01-13 04:00:00,24.0,93,1012.0,2.6,328
2014-01-13 05:00:00,23.9,100,1012.6,2.8,341
2014-01-13 06:00:00,23.9,90,1013.2,3.2,356
2014-01-13 07:00:00,23.3,78,1013.8,4.5,13
2014-01-13 08:00:00,23.7,74,1014.5,3.9,13
2014-01-13 10:00:00,25.7,66,1014.8,2.7,48
2014-01-13 11:00:00,26.9,63,1014.3,1.8,13
2014-01-13 12:00:00,27.5,61,1013.2,2.8,8
2014-01-13 13:00:00,27.9,63,1012.1,4.3,8
2014-01-13 14:00:00,28.5,60,1011.0,2.4,30
2014-01-13 15:00:00,28.9,61,1010.5,2.6,358
2014-01-13 16:00:00,29.2,57,1010.3,1.3,45
2014-01-13 17:00:00,29.5,55,1010.4,1.2,138
2014-01-13 18:00:00,28.6,61,1010.6,1.8,177
2014-01-13 19:00:00,26.5,71,1011.6,2.3,175
2014-01-13 20:00:00,25.4,78,1012.8,2.3,142
2014-01-13 21:00:00,24.6,81,1013.2,1.7,118
2014-01-13 22:00:00,24.5,85,1012.8,1.1,124
2014-01-13 23:00:00,23.9,86,1012.7,1.4,144
2014-01-14 00:00:00,23.5,89,1012.8,0.7,180
2014-01-14 01:00:00,22.9,92,1012.5,0.9,234
2014-01-14 02:00:00,22.3,95,1012.1,1.6,270
2014-01-14 03:00:00,22.7,97,1011.7,2.3,308
2014-01-14 04:00:00,22.7,98,1012.2,2.9,322
2014-01-14 05:00:00,22.5,99,1012.6,3.4,333
2014-01-14 06:00:00,22.4,98,1013.4,3.5,333
2014-01-14 07:00:00,22.3,95,1014.5,3.3,337
2014-01-14 08:00:00,22.5,83,1015.4,3.9,353
2014-01-14 09:00:00,23.2,75,1016.1,3.6,358
2014-01-14 10:00:00,24.1,71,1015.9,3.7,43
2014-01-14 11:00:00,25.6,67,1015.4,2.2,51
2014-01-14 12:00:00,26.4,65,1014.4,2.5,27
2014-01-14 13:00:00,27.2,65,1013.2,2.4,19
2014-01-14 14:00:00,27.7,63,1012.5,2.9,25
2014-01-14 15:00:00,27.9,61,1012.1,2.7,8
2014-01-14 16:00:00,28.2,58,1012.1,1.8,6
2014-01-14 17:00:00,27.9,59,1012.2,0.9,27
2014-01-14 18:00:00,27.2,64,1012.6,1.0,163
2014-01-14 19:00:00,25.6,73,1013.3,2.6,157
2014-01-14 20:00:00,24.3,81,1014.4,1.9,159
2014-01-14 21:00:00,23.5,85,1014.9,1.5,164
2014-01-14 22:00:00,22.9,88,1015.1,1.3,167
2014-01-14 23:00:00,22.6,89,1015.3,1.0,197
2014-01-15 00:00:00,22.0,93,1015.1,1.0,225
2014-01-15 01:00:00,21.7,94,1014.9,1.1,229
2014-01-15 02:00:00,21.6,95,1014.3,0.4,270
2014-01-15 03:00:00,22.3,97,1014.2,1.9,324
2014-01-15 04:00:00,22.5,95,1014.2,2.1,332
2014-01-15 05:00:00,22.4,97,1014.8,3.1,351
2014-01-15 06:00:00,22.2,79,1015.4,4.4,13
2014-01-15 07:00:00,21.5,78,1016.1,3.9,9
2014-01-15 08:00:00,21.6,74,1017.1,4.4,1
2014-01-15 10:00:00,22.9,67,1017.5,3.9,4
2014-01-15 11:00:00,24.1,65,1016.8,3.3,7
2014-01-15 12:00:00,25.4,61,1015.6,3.3,11
2014-01-15 13:00:00,26.7,55,1014.2,5.2,4
2014-01-15 14:00:00,27.1,50,1013.6,6.5,7
2014-01-15 15:00:00,27.2,50,1013.2,6.0,11
2014-01-15 16:00:00,27.3,50,1013.3,4.7,25
2014-01-15 17:00:00,27.2,49,1013.3,3.2,30
2014-01-15 18:00:00,26.7,52,1013.8,1.5,340
2014-01-15 19:00:00,24.7,61,1014.3,1.2,166
2014-01-15 20:00:00,23.2,68,1015.3,1.6,210
2014-01-15 21:00:00,22.1,79,1015.8,1.2,200
2014-01-15 22:00:00,21.6,84,1015.9,0.4,166
2014-01-15 23:00:00,20.9,88,1016.1,1.4,197
2014-01-16 00:00:00,20.5,90,1016.1,1.0,264
2014-01-16 01:00:00,20.4,90,1015.8,1.2,261
2014-01-16 02:00:00,20.3,91,1015.3,1.7,245
2014-01-16 03:00:00,20.0,94,1014.8,1.7,213
2014-01-16 04:00:00,19.8,94,1014.7,1.5,238
2014-01-16 05:00:00,19.8,94,1015.1,1.7,257
2014-01-16 06:00:00,20.6,96,1015.5,2.4,308
2014-01-16 07:00:00,20.8,93,1016.2,2.7,306
2014-01-16 08:00:00,21.1,89,1017.2,2.5,348
2014-01-16 09:00:00,22.2,83,1017.5,2.8,337
2014-01-16 10:00:00,23.8,78,1017.3,2.1,317
2014-01-16 11:00:00,25.7,66,1017.0,1.7,353
2014-01-16 12:00:00,26.7,65,1016.0,3.1,327
2014-01-16 13:00:00,26.7,63,1014.7,3.7,296
2014-01-16 14:00:00,26.9,59,1013.7,2.5,11
2014-01-16 15:00:00,27.3,56,1013.4,2.5,23
2014-01-16 16:00:00,27.6,54,1013.6,2.6,349
2014-01-16 17:00:00,27.1,57,1013.9,2.9,346
2014-01-16 18:00:00,25.9,65,1014.3,2.5,328
2014-01-16 19:00:00,24.3,69,1014.7,1.6,270
2014-01-16 20:00:00,23.5,70,1015.1,1.6,259
2014-01-16 21:00:00,22.8,76,1015.5,1.3,222
2014-01-16 22:00:00,21.9,81,1015.4,1.7,205
2014-01-16 23:00:00,21.3,86,1015.5,1.3,198
2014-01-17 00:00:00,21.7,83,1015.5,1.8,135
2014-01-17 01:00:00,21.6,82,1015.1,1.9,155
2014-01-17 02:00:00,21.1,85,1014.3,2.5,182
2014-01-17 03:00:00,20.6,90,1014.0,1.5,212
2014-01-17 04:00:00,20.2,93,1013.8,2.1,217
2014-01-17 05:00:00,20.0,95,1014.3,1.8,264
2014-01-17 06:00:00,20.4,96,1014.5,1.2,246
2014-01-17 07:00:00,21.0,91,1015.4,1.5,318
2014-01-17 08:00:00,21.3,88,1016.0,2.9,354
2014-01-17 10:00:00,23.0,78,1016.6,1.9,32
2014-01-17 11:00:00,24.0,74,1016.6,1.3,48
2014-01-17 12:00:00,25.3,69,1015.5,1.2,9
2014-01-17 13:00:00,26.0,65,1014.4,1.7,10
2014-01-17 14:00:00,26.9,58,1013.4,1.0,349
2014-01-17 15:00:00,27.4,57,1013.1,0.6,321
2014-01-17 16:00:00,27.5,58,1013.2,0.8,310
2014-01-17 17:00:00,26.6,68,1013.6,1.5,328
2014-01-17 18:00:00,25.7,75,1013.8,2.4,324
2014-01-17 19:00:00,24.8,79,1014.4,1.7,327
2014-01-17 20:00:00,23.9,82,1015.4,0.3,180
2014-01-17 21:00:00,22.7,88,1015.8,0.7,243
2014-01-17 22:00:00,22.8,90,1015.8,1.5,184
2014-01-17 23:00:00,22.5,92,1015.5,3.0,171
2014-01-18 00:00:00,22.5,89,1015.6,1.5,180
2014-01-18 01:00:00,22.5,91,1015.6,1.0,151
2014-01-18 02:00:00,22.2,92,1015.0,0.9,139
2014-01-18 04:00:00,22.0,98,1014.9,1.8,319
2014-01-18 05:00:00,22.0,97,1015.3,2.6,347
2014-01-18 06:00:00,21.7,89,1015.8,3.7,340
2014-01-18 08:00:00,22.0,84,1017.2,4.7,24
2014-01-18 09:00:00,23.0,78,1017.6,2.7,358
2014-01-18 10:00:00,24.6,73,1017.5,1.7,17
2014-01-18 11:00:00,26.2,70,1017.0,2.8,26
2014-01-18 12:00:00,26.4,70,1016.4,4.3,16
2014-01-18 13:00:00,26.6,68,1015.3,3.3,349
2014-01-18 14:00:00,27.3,64,1014.3,3.8,353
2014-01-18 15:00:00,27.4,61,1013.9,5.3,13
2014-01-18 16:00:00,27.5,59,1014.0,3.7,357
2014-01-18 17:00:00,27.5,61,1014.3,3.2,2
2014-01-18 18:00:00,26.8,66,1014.8,1.6,346
2014-01-18 20:00:00,24.8,68,1016.5,3.2,7
2014-01-18 21:00:00,24.3,68,1017.2,4.6,19
2014-01-18 22:00:00,23.7,70,1017.8,3.5,68
2014-01-18 23:00:00,23.5,67,1017.7,3.5,61
2014-01-19 00:00:00,23.1,64,1017.5,3.1,50
2014-01-19 01:00:00,22.6,69,1017.0,4.8,40
2014-01-19 02:00:00,22.1,69,1016.4,3.8,25
2014-01-19 05:00:00,20.0,79,1016.6,3.7,13
2014-01-19 06:00:00,19.5,81,1017.0,2.9,356
2014-01-19 07:00:00,19.4,81,1017.7,4.7,18
2014-01-19 08:00:00,20.3,77,1018.6,4.9,24
2014-01-19 09:00:00,21.9,69,1018.9,3.0,30
2014-01-19 10:00:00,23.7,64,1018.4,3.1,25
2014-01-19 11:00:00,25.1,59,1017.7,3.6,3
2014-01-19 13:00:00,26.4,57,1015.9,3.8,332
2014-01-19 14:00:00,26.8,56,1014.5,5.9,12
2014-01-19 15:00:00,27.1,58,1014.0,5.4,1
2014-01-19 16:00:00,27.3,56,1014.3,5.1,347
2014-01-19 17:00:00,27.1,57,1014.3,5.2,325
2014-01-19 18:00:00,25.8,66,1014.8,3.1,292
2014-01-19 19:00:00,24.6,70,1015.1,3.9,300
2014-01-19 20:00:00,23.9,72,1015.6,3.6,302
2014-01-19 21:00:00,23.4,74,1016.1,3.8,311
2014-01-19 22:00:00,23.0,74,1016.1,4.0,315
2014-01-19 23:00:00,22.6,75,1016.4,3.6,333
2014-01-20 00:00:00,21.8,75,1016.4,1.1,229
2014-01-20 01:00:00,21.5,76,1015.6,3.1,306
2014-01-20 02:00:00,20.9,80,1015.1,2.6,317
2014-01-20 03:00:00,20.2,83,1014.7,2.5,328
2014-01-20 04:00:00,19.8,85,1014.8,2.4,330
2014-01-20 05:00:00,19.5,85,1015.1,2.2,336
2014-01-20 06:00:00,19.2,87,1015.4,3.0,336
2014-01-20 07:00:00,19.3,87,1015.9,3.7,336
2014-01-20 08:00:00,19.7,84,1016.7,3.1,343
2014-01-20 10:00:00,23.3,72,1017.0,3.2,346
2014-01-20 12:00:00,26.7,62,1015.8,2.0,336
2014-01-20 13:00:00,27.8,57,1014.7,1.5,28
2014-01-20 14:00:00,28.0,56,1013.6,3.4,21
2014-01-20 15:00:00,28.4,54,1013.2,2.8,350
2014-01-20 16:00:00,28.9,51,1013.1,2.9,342
2014-01-20 17:00:00,28.1,61,1013.2,2.8,330
2014-01-20 18:00:00,26.8,68,1013.6,1.8,286
2014-01-20 19:00:00,24.6,73,1014.2,1.8,270
2014-01-20 20:00:00,23.4,79,1015.0,2.3,225
2014-01-20 21:00:00,22.6,83,1015.9,1.8,135
2014-01-20 22:00:00,22.5,88,1016.0,2.5,153
2014-01-20 23:00:00,22.8,89,1015.9,1.9,144
2014-01-21 00:00:00,22.6,90,1015.5,1.5,143
2014-01-21 01:00:00,22.1,93,1015.3,1.5,152
2014-01-21 02:00:00,21.9,92,1014.7,1.1,153
2014-01-21 03:00:00,21.3,94,1014.2,0.6,261
2014-01-21 04:00:00,22.0,94,1014.8,3.8,346
2014-01-21 05:00:00,22.2,83,1015.1,3.2,7
2014-01-21 06:00:00,21.9,79,1015.4,3.1,354
2014-01-21 07:00:00,21.4,81,1016.1,3.6,358
2014-01-21 09:00:00,22.3,75,1017.6,5.8,29
