Ngày,Giờ,Nhiệt độ,Độ ẩm,Khí áp,T.độ gió,H. gió
09/01/2014,12:00,29.6,46,1012.3,3.5,100
09/01/2014,13:00,30,42,1011.1,4.4,101
09/01/2014,14:00,30.1,42,1009.8,3.8,102
09/01/2014,15:00,29.9,44,1009.5,4,93
09/01/2014,16:00,29,48,1009.5,2.9,102
09/01/2014,17:00,28.2,53,1009.9,2.6,119
09/01/2014,18:00,27.1,63,1010.5,1.6,94
09/01/2014,19:00,26,75,1011.5,2.8,60
09/01/2014,20:00,25.3,80,1012.3,2.2,72
09/01/2014,21:00,25,82,1012.7,1.5,110
09/01/2014,22:00,24.9,82,1012.6,2.1,131
09/01/2014,23:00,24.7,83,1012.6,1.8,106
10/01/2014,00:00,24.4,86,1012.5,1.3,67
10/01/2014,01:00,24.1,88,1012,0,-
10/01/2014,02:00,23.8,90,1011.7,1.6,117
10/01/2014,03:00,23.9,88,1011.4,1.6,112
10/01/2014,04:00,24,90,1011.7,1.8,61
10/01/2014,05:00,23.8,90,1011.8,1,90
10/01/2014,06:00,23.8,89,1012.6,1.3,51
10/01/2014,07:00,24.1,86,1013.4,1.6,60
10/01/2014,08:00,24.4,86,1014.4,1.9,47
10/01/2014,09:00,25.6,76,1014.8,3.8,63
10/01/2014,10:00,25.9,74,1014.7,4.1,62
10/01/2014,11:00,26.6,71,1014,3.3,52
10/01/2014,12:00,27.5,68,1013.2,2.7,36
10/01/2014,13:00,27.8,71,1012.1,2.4,7
10/01/2014,14:00,28.5,69,1011.1,2,0
10/01/2014,15:00,28.8,67,1011,0.8,0
10/01/2014,16:00,28.8,71,1011.1,1.2,340
10/01/2014,17:00,28,76,1011.4,2.1,0
10/01/2014,18:00,27.1,83,1012,0.9,58
10/01/2014,19:00,26.8,83,1012.7,1.2,114
10/01/2014,20:00,26.3,75,1013.3,2.1,121
10/01/2014,21:00,25.6,79,1013.7,2.2,133
10/01/2014,22:00,25.1,81,1013.8,2.2,120
10/01/2014,23:00,24.5,83,1013.8,1.3,135
11/01/2014,00:00,24,87,1013.9,1,169
11/01/2014,01:00,23.5,89,1013.4,1.4,163
11/01/2014,02:00,23,90,1012.9,1.3,167
11/01/2014,03:00,22.9,90,1012.6,1.3,103
11/01/2014,04:00,23.1,91,1012.7,0.7,180
11/01/2014,05:00,22.6,93,1012.9,0.7,164
11/01/2014,06:00,23.1,95,1013.4,1.1,0
11/01/2014,07:00,23.8,89,1014.3,1.9,58
11/01/2014,08:00,24.3,85,1015.3,2.6,65
11/01/2014,09:00,25.5,78,1015.5,2.8,51
11/01/2014,10:00,26.7,72,1015.4,3.1,38
11/01/2014,11:00,27.7,70,1014.7,1.9,0
11/01/2014,12:00,28.5,67,1013.6,2.8,13
11/01/2014,13:00,29.4,58,1012.5,0.9,6
11/01/2014,14:00,30.3,56,1011.6,1.3,23
11/01/2014,15:00,31.3,53,1011,1,349
11/01/2014,16:00,31.5,57,1011.1,1.8,299
11/01/2014,17:00,29.7,66,1011.6,3.4,307
11/01/2014,18:00,28.5,69,1012.5,2.2,159
11/01/2014,19:00,26.7,74,1013.2,1.7,155
11/01/2014,20:00,25.9,77,1014,1.8,135
11/01/2014,21:00,25.5,79,1014.3,1.8,135
11/01/2014,22:00,25.2,83,1014.5,1.1,158
11/01/2014,23:00,25,84,1014.5,1.2,171
12/01/2014,00:00,24.7,87,1014,1.9,164
12/01/2014,01:00,24.2,89,1013.7,1.8,164
12/01/2014,02:00,23.9,90,1012.9,1.7,170
12/01/2014,03:00,23.5,92,1012.3,1.5,176
12/01/2014,04:00,23.2,92,1012.2,0.1,180
12/01/2014,05:00,23.2,93,1012.5,0.2,180
12/01/2014,06:00,23.1,93,1012.9,0.6,180
12/01/2014,07:00,23.3,95,1013.9,1.2,160
12/01/2014,08:00,24.3,92,1014.9,1.3,58
12/01/2014,09:00,25.1,90,1015.3,2,15
12/01/2014,10:00,26.6,84,1015.4,1.9,32
12/01/2014,11:00,28,74,1015,2.2,43
12/01/2014,12:00,29,67,1013.8,1.2,355
12/01/2014,13:00,29.5,68,1012.7,1.8,0
12/01/2014,14:00,29.5,68,1011.7,2.1,8
12/01/2014,15:00,30,66,1011.2,1.1,5
12/01/2014,16:00,30,67,1011.2,2.1,346
12/01/2014,17:00,29.1,74,1011.5,1.7,357
12/01/2014,18:00,28.4,75,1011.6,0.9,249
12/01/2014,19:00,27.4,78,1012.5,1,197
12/01/2014,20:00,26.6,83,1013.3,2,150
12/01/2014,21:00,25.6,85,1014,1.4,144
12/01/2014,22:00,25.1,87,1014.5,2.9,108
12/01/2014,23:00,24.9,88,1013.9,1.7,115
13/01/2014,00:00,24.8,91,1013.4,2.1,211
13/01/2014,01:00,24.2,94,1013.2,1.2,160
13/01/2014,02:00,24,95,1012.6,1.1,128
13/01/2014,03:00,24,95,1012.2,0.3,225
13/01/2014,04:00,24,93,1012,2.6,328
13/01/2014,05:00,23.9,100,1012.6,2.8,341
13/01/2014,06:00,23.9,90,1013.2,3.2,356
13/01/2014,07:00,23.3,78,1013.8,4.5,13
13/01/2014,08:00,23.7,74,1014.5,3.9,13
13/01/2014,09:00,24.7,70,1014.9,5,0
13/01/2014,10:00,25.7,66,1014.8,2.7,48
13/01/2014,11:00,26.9,63,1014.3,1.8,13
13/01/2014,12:00,27.5,61,1013.2,2.8,8
13/01/2014,13:00,27.9,63,1012.1,4.3,8
13/01/2014,14:00,28.5,60,1011,2.4,30
13/01/2014,15:00,28.9,61,1010.5,2.6,358
13/01/2014,16:00,29.2,57,1010.3,1.3,45
13/01/2014,17:00,29.5,55,1010.4,1.2,138
13/01/2014,18:00,28.6,61,1010.6,1.8,177
13/01/2014,19:00,26.5,71,1011.6,2.3,175
13/01/2014,20:00,25.4,78,1012.8,2.3,142
13/01/2014,21:00,24.6,81,1013.2,1.7,118
13/01/2014,22:00,24.5,85,1012.8,1.1,124
13/01/2014,23:00,23.9,86,1012.7,1.4,144
14/01/2014,00:00,23.5,89,1012.8,0.7,180
14/01/2014,01:00,22.9,92,1012.5,0.9,234
14/01/2014,02:00,22.3,95,1012.1,1.6,270
14/01/2014,03:00,22.7,97,1011.7,2.3,308
14/01/2014,04:00,22.7,98,1012.2,2.9,322
14/01/2014,05:00,22.5,99,1012.6,3.4,333
14/01/2014,06:00,22.4,98,1013.4,3.5,333
14/01/2014,07:00,22.3,95,1014.5,3.3,337
14/01/2014,08:00,22.5,83,1015.4,3.9,353
14/01/2014,09:00,23.2,75,1016.1,3.6,358
14/01/2014,10:00,24.1,71,1015.9,3.7,43
14/01/2014,11:00,25.6,67,1015.4,2.2,51
14/01/2014,12:00,26.4,65,1014.4,2.5,27
14/01/2014,13:00,27.2,65,1013.2,2.4,19
14/01/2014,14:00,27.7,63,1012.5,2.9,25
14/01/2014,15:00,27.9,61,1012.1,2.7,8
14/01/2014,16:00,28.2,58,1012.1,1.8,6
14/01/2014,17:00,27.9,59,1012.2,0.9,27
14/01/2014,18:00,27.2,64,1012.6,1,163
14/01/2014,19:00,25.6,73,1013.3,2.6,157
14/01/2014,20:00,24.3,81,1014.4,1.9,159
14/01/2014,21:00,23.5,85,1014.9,1.5,164
14/01/2014,22:00,22.9,88,1015.1,1.3,167
14/01/2014,23:00,22.6,89,1015.3,1,197
15/01/2014,00:00,22,93,1015.1,1,225
15/01/2014,01:00,21.7,94,1014.9,1.1,229
15/01/2014,02:00,21.6,95,1014.3,0.4,270
15/01/2014,03:00,22.3,97,1014.2,1.9,324
15/01/2014,04:00,22.5,95,1014.2,2.1,332
15/01/2014,05:00,22.4,97,1014.8,3.1,351
15/01/2014,06:00,22.2,79,1015.4,4.4,13
15/01/2014,07:00,21.5,78,1016.1,3.9,9
15/01/2014,08:00,21.6,74,1017.1,4.4,1
15/01/2014,09:00,22.2,70,1017.5,4.8,0
15/01/2014,10:00,22.9,67,1017.5,3.9,4
15/01/2014,11:00,24.1,65,1016.8,3.3,7
15/01/2014,12:00,25.4,61,1015.6,3.3,11
15/01/2014,13:00,26.7,55,1014.2,5.2,4
15/01/2014,14:00,27.1,50,1013.6,6.5,7
15/01/2014,15:00,27.2,50,1013.2,6,11
15/01/2014,16:00,27.3,50,1013.3,4.7,25
15/01/2014,17:00,27.2,49,1013.3,3.2,30
15/01/2014,18:00,26.7,52,1013.8,1.5,340
15/01/2014,19:00,24.7,61,1014.3,1.2,166
15/01/2014,20:00,23.2,68,1015.3,1.6,210
15/01/2014,21:00,22.1,79,1015.8,1.2,200
15/01/2014,22:00,21.6,84,1015.9,0.4,166
15/01/2014,23:00,20.9,88,1016.1,1.4,197
16/01/2014,00:00,20.5,90,1016.1,1,264
16/01/2014,01:00,20.4,90,1015.8,1.2,261
16/01/2014,02:00,20.3,91,1015.3,1.7,245
16/01/2014,03:00,20,94,1014.8,1.7,213
16/01/2014,04:00,19.8,94,1014.7,1.5,238
16/01/2014,05:00,19.8,94,1015.1,1.7,257
16/01/2014,06:00,20.6,96,1015.5,2.4,308
16/01/2014,07:00,20.8,93,1016.2,2.7,306
16/01/2014,08:00,21.1,89,1017.2,2.5,348
16/01/2014,09:00,22.2,83,1017.5,2.8,337
16/01/2014,10:00,23.8,78,1017.3,2.1,317
16/01/2014,11:00,25.7,66,1017,1.7,353
16/01/2014,12:00,26.7,65,1016,3.1,327
16/01/2014,13:00,26.7,63,1014.7,3.7,296
16/01/2014,14:00,26.9,59,1013.7,2.5,11
16/01/2014,15:00,27.3,56,1013.4,2.5,23
16/01/2014,16:00,27.6,54,1013.6,2.6,349
16/01/2014,17:00,27.1,57,1013.9,2.9,346
16/01/2014,18:00,25.9,65,1014.3,2.5,328
16/01/2014,19:00,24.3,69,1014.7,1.6,270
16/01/2014,20:00,23.5,70,1015.1,1.6,259
16/01/2014,21:00,22.8,76,1015.5,1.3,222
16/01/2014,22:00,21.9,81,1015.4,1.7,205
16/01/2014,23:00,21.3,86,1015.5,1.3,198
17/01/2014,00:00,21.7,83,1015.5,1.8,135
17/01/2014,01:00,21.6,82,1015.1,1.9,155
17/01/2014,02:00,21.1,85,1014.3,2.5,182
17/01/2014,03:00,20.6,90,1014,1.5,212
17/01/2014,04:00,20.2,93,1013.8,2.1,217
17/01/2014,05:00,20,95,1014.3,1.8,264
17/01/2014,06:00,20.4,96,1014.5,1.2,246
17/01/2014,07:00,21,91,1015.4,1.5,318
17/01/2014,08:00,21.3,88,1016,2.9,354
17/01/2014,09:00,21.8,83,1016.6,2,0
17/01/2014,10:00,23,78,1016.6,1.9,32
17/01/2014,11:00,24,74,1016.6,1.3,48
17/01/2014,12:00,25.3,69,1015.5,1.2,9
17/01/2014,13:00,26,65,1014.4,1.7,10
17/01/2014,14:00,26.9,58,1013.4,1,349
17/01/2014,15:00,27.4,57,1013.1,0.6,321
17/01/2014,16:00,27.5,58,1013.2,0.8,310
17/01/2014,17:00,26.6,68,1013.6,1.5,328
17/01/2014,18:00,25.7,75,1013.8,2.4,324
17/01/2014,19:00,24.8,79,1014.4,1.7,327
17/01/2014,20:00,23.9,82,1015.4,0.3,180
17/01/2014,21:00,22.7,88,1015.8,0.7,243
17/01/2014,22:00,22.8,90,1015.8,1.5,184
17/01/2014,23:00,22.5,92,1015.5,3,171
18/01/2014,00:00,22.5,89,1015.6,1.5,180
18/01/2014,01:00,22.5,91,1015.6,1,151
18/01/2014,02:00,22.2,92,1015,0.9,139
18/01/2014,03:00,21.7,92,1014.7,0,-
18/01/2014,04:00,22,98,1014.9,1.8,319
18/01/2014,05:00,22,97,1015.3,2.6,347
18/01/2014,06:00,21.7,89,1015.8,3.7,340
18/01/2014,07:00,21.2,92,1016.5,2.2,0
18/01/2014,08:00,22,84,1017.2,4.7,24
18/01/2014,09:00,23,78,1017.6,2.7,358
18/01/2014,10:00,24.6,73,1017.5,1.7,17
18/01/2014,11:00,26.2,70,1017,2.8,26
18/01/2014,12:00,26.4,70,1016.4,4.3,16
18/01/2014,13:00,26.6,68,1015.3,3.3,349
18/01/2014,14:00,27.3,64,1014.3,3.8,353
18/01/2014,15:00,27.4,61,1013.9,5.3,13
18/01/2014,16:00,27.5,59,1014,3.7,357
18/01/2014,17:00,27.5,61,1014.3,3.2,2
18/01/2014,18:00,26.8,66,1014.8,1.6,346
18/01/2014,19:00,25.7,65,1015.6,3,0
18/01/2014,20:00,24.8,68,1016.5,3.2,7
18/01/2014,21:00,24.3,68,1017.2,4.6,19
18/01/2014,22:00,23.7,70,1017.8,3.5,68
18/01/2014,23:00,23.5,67,1017.7,3.5,61
19/01/2014,00:00,23.1,64,1017.5,3.1,50
19/01/2014,01:00,22.6,69,1017,4.8,40
19/01/2014,02:00,22.1,69,1016.4,3.8,25
19/01/2014,03:00,21.3,73,1016.1,3.1,0
19/01/2014,04:00,20.4,79,1016.4,3.3,0
19/01/2014,05:00,20,79,1016.6,3.7,13
19/01/2014,06:00,19.5,81,1017,2.9,356
19/01/2014,07:00,19.4,81,1017.7,4.7,18
19/01/2014,08:00,20.3,77,1018.6,4.9,24
19/01/2014,09:00,21.9,69,1018.9,3,30
19/01/2014,10:00,23.7,64,1018.4,3.1,25
19/01/2014,11:00,25.1,59,1017.7,3.6,3
19/01/2014,12:00,25.6,57,1017,3.8,0
19/01/2014,13:00,26.4,57,1015.9,3.8,332
19/01/2014,14:00,26.8,56,1014.5,5.9,12
19/01/2014,15:00,27.1,58,1014,5.4,1
19/01/2014,16:00,27.3,56,1014.3,5.1,347
19/01/2014,17:00,27.1,57,1014.3,5.2,325
19/01/2014,18:00,25.8,66,1014.8,3.1,292
19/01/2014,19:00,24.6,70,1015.1,3.9,300
19/01/2014,20:00,23.9,72,1015.6,3.6,302
19/01/2014,21:00,23.4,74,1016.1,3.8,311
19/01/2014,22:00,23,74,1016.1,4,315
19/01/2014,23:00,22.6,75,1016.4,3.6,333
20/01/2014,00:00,21.8,75,1016.4,1.1,229
20/01/2014,01:00,21.5,76,1015.6,3.1,306
20/01/2014,02:00,20.9,80,1015.1,2.6,317
20/01/2014,03:00,20.2,83,1014.7,2.5,328
20/01/2014,04:00,19.8,85,1014.8,2.4,330
20/01/2014,05:00,19.5,85,1015.1,2.2,336
20/01/2014,06:00,19.2,87,1015.4,3,336
20/01/2014,07:00,19.3,87,1015.9,3.7,336
20/01/2014,08:00,19.7,84,1016.7,3.1,343
20/01/2014,09:00,21.5,76,1017.3,3.8,0
20/01/2014,10:00,23.3,72,1017,3.2,346
20/01/2014,11:00,25,68,1016.4,3.3,0
20/01/2014,12:00,26.7,62,1015.8,2,336
20/01/2014,13:00,27.8,57,1014.7,1.5,28
20/01/2014,14:00,28,56,1013.6,3.4,21
20/01/2014,15:00,28.4,54,1013.2,2.8,350
20/01/2014,16:00,28.9,51,1013.1,2.9,342
20/01/2014,17:00,28.1,61,1013.2,2.8,330
20/01/2014,18:00,26.8,68,1013.6,1.8,286
20/01/2014,19:00,24.6,73,1014.2,1.8,270
20/01/2014,20:00,23.4,79,1015,2.3,225
20/01/2014,21:00,22.6,83,1015.9,1.8,135
20/01/2014,22:00,22.5,88,1016,2.5,153
20/01/2014,23:00,22.8,89,1015.9,1.9,144
21/01/2014,00:00,22.6,90,1015.5,1.5,143
21/01/2014,01:00,22.1,93,1015.3,1.5,152
21/01/2014,02:00,21.9,92,1014.7,1.1,153
21/01/2014,03:00,21.3,94,1014.2,0.6,261
21/01/2014,04:00,22,94,1014.8,3.8,346
21/01/2014,05:00,22.2,83,1015.1,3.2,7
21/01/2014,06:00,21.9,79,1015.4,3.1,354
21/01/2014,07:00,21.4,81,1016.1,3.6,358
21/01/2014,08:00,21.3,76,1017,3.5,0
21/01/2014,09:00,22.3,75,1017.6,5.8,29
21/01/2014,10:00,23.4,71,1017.2,4.2,34
21/01/2014,11:00,24.7,67,1016.5,3,28
21/01/2014,12:00,26.2,62,1015.4,1.3,337
21/01/2014,13:00,27.5,59,1014.3,1.7,10
21/01/2014,14:00,27.7,60,1013.7,2.8,341
21/01/2014,15:00,27.4,60,1012.9,2,0
21/01/2014,16:00,27.8,56,1012.7,2.7,338
21/01/2014,17:00,28,56,1013.1,0.6,309
21/01/2014,18:00,27.4,59,1013.7,1.2,270
21/01/2014,19:00,26,65,1014.3,1.3,238
21/01/2014,20:00,25.5,74,1015.3,2.1,8
21/01/2014,21:00,25.4,71,1016.1,1.5,132
21/01/2014,22:00,24.3,74,1016.4,2.1,131
21/01/2014,23:00,23.8,80,1016.2,2,81
22/01/2014,00:00,23.7,83,1016.1,1,45
22/01/2014,01:00,23.2,84,1015.6,3.6,2
22/01/2014,02:00,22.7,70,1015,3.8,11
22/01/2014,03:00,22.1,75,1014.8,4.2,350
22/01/2014,04:00,21.3,77,1015,3.5,342
